vowels,lyrics
<bos> oaae o ooe <eos>,<bos> 囚われ もう 戻れ <eos>
<bos> o ooe ai <eos>,<bos> もう 戻れ ない <eos>
<bos> ooe ai a <eos>,<bos> 戻れ ない な <eos>
<bos> ai a o <eos>,<bos> ない な そう <eos>
<bos> a o a <eos>,<bos> な そう さ <eos>
<bos> o a ua <eos>,<bos> そう さ 修羅 <eos>
<bos> a ua o <eos>,<bos> さ 修羅 の <eos>
<bos> ua o ia <eos>,<bos> 修羅 の 庭 <eos>
<bos> o ia ie <eos>,<bos> の 庭 にて <eos>
<bos> ia ie ii <eos>,<bos> 庭 にて 君 <eos>
<bos> ie ii o <eos>,<bos> にて 君 と <eos>
<bos> ii o i <eos>,<bos> 君 と 二 <eos>
<bos> o i in <eos>,<bos> と 二 人 <eos>
<bos> i in ii <eos>,<bos> 二 人 きり <eos>
<bos> in ii e <eos>,<bos> 人 きり で <eos>
<bos> ii e aui <eos>,<bos> きり で 殴り <eos>
<bos> e aui aua <eos>,<bos> で 殴り 殴ら <eos>
<bos> aui aua e <eos>,<bos> 殴り 殴ら れ <eos>
<bos> aua e ano <eos>,<bos> 殴ら れ 乱闘 <eos>
<bos> e ano u <eos>,<bos> れ 乱闘 中 <eos>
<bos> aaa ooiae ai <eos>,<bos> さらば 思い出せ ない <eos>
<bos> ooiae ai o <eos>,<bos> 思い出せ ない よう <eos>
<bos> ai o a <eos>,<bos> ない よう な <eos>
<bos> o a oen <eos>,<bos> よう な 呆然 <eos>
<bos> a oen iiu <eos>,<bos> な 呆然 自失 <eos>
<bos> oen iiu o <eos>,<bos> 呆然 自失 の <eos>
<bos> iiu o aian <eos>,<bos> 自失 の 毎晩 <eos>
<bos> o aian o <eos>,<bos> の 毎晩 を <eos>
<bos> aian o ii <eos>,<bos> 毎晩 を 君 <eos>
<bos> o ii o <eos>,<bos> を 君 の <eos>
<bos> ii o uee <eos>,<bos> 君 の 全て <eos>
<bos> o uee e <eos>,<bos> の 全て で <eos>
<bos> uee e aua <eos>,<bos> 全て で 爆破 <eos>
<bos> e aua i <eos>,<bos> で 爆破 し <eos>
<bos> aua i e <eos>,<bos> 爆破 し て <eos>
<bos> i e anun <eos>,<bos> し て 単純 <eos>
<bos> e anun eiai <eos>,<bos> て 単純 明快 <eos>
<bos> anun eiai ona <eos>,<bos> 単純 明快 こんな <eos>
<bos> eiai ona on <eos>,<bos> 明快 こんな もん <eos>
<bos> ona on a <eos>,<bos> こんな もん だ <eos>
<bos> o o e <eos>,<bos> の 脳 で <eos>
<bos> o e uau <eos>,<bos> 脳 で 歌う <eos>
<bos> e uau ate <eos>,<bos> で 歌う たって <eos>
<bos> uau ate eio <eos>,<bos> 歌う たって 迷妄 <eos>
<bos> ate eio uai <eos>,<bos> たって 迷妄 醜態 <eos>
<bos> eio uai enu <eos>,<bos> 迷妄 醜態 全部 <eos>
<bos> uai enu o <eos>,<bos> 醜態 全部 そう <eos>
<bos> enu o a <eos>,<bos> 全部 そう だ <eos>
<bos> o a ituue <eos>,<bos> そう だ ひっくるめ <eos>
<bos> a ituue e <eos>,<bos> だ ひっくるめ て <eos>
<bos> ituue e ai <eos>,<bos> ひっくるめ て 愛 <eos>
<bos> e ai o <eos>,<bos> て 愛 を <eos>
<bos> ai o ooi <eos>,<bos> 愛 を 注い <eos>
<bos> o ooi e <eos>,<bos> を 注い で <eos>
<bos> ooi e i <eos>,<bos> 注い で い <eos>
<bos> e i ai <eos>,<bos> で い たい <eos>
<bos> aai aaa i <eos>,<bos> あたし あなた に <eos>
<bos> aaa i ae <eos>,<bos> あなた に 会え <eos>
<bos> i ae e <eos>,<bos> に 会え て <eos>
<bos> ae e onoi <eos>,<bos> 会え て 本当に <eos>
<bos> e onoi ueii <eos>,<bos> て 本当に 嬉しい <eos>
<bos> onoi ueii o <eos>,<bos> 本当に 嬉しい の <eos>
<bos> ueii o iaai <eos>,<bos> 嬉しい の に当たり <eos>
<bos> o iaai ae <eos>,<bos> の に当たり 前 <eos>
<bos> iaai ae o <eos>,<bos> に当たり 前 の <eos>
<bos> ae o o <eos>,<bos> 前 の よう <eos>
<bos> o o i <eos>,<bos> の よう に <eos>
<bos> o i oea <eos>,<bos> よう に それら <eos>
<bos> i oea uee <eos>,<bos> に それら すべて <eos>
<bos> oea uee a <eos>,<bos> それら すべて が <eos>
<bos> uee a aaii <eos>,<bos> すべて が 悲しい <eos>
<bos> a aaii n <eos>,<bos> が 悲しい ん <eos>
<bos> aaii n a <eos>,<bos> 悲しい ん だ <eos>
<bos> n a ia <eos>,<bos> ん だ 今 <eos>
<bos> a ia iai <eos>,<bos> だ 今 痛い <eos>
<bos> ia iai uai <eos>,<bos> 今 痛い くらい <eos>
<bos> iai uai iaae <eos>,<bos> 痛い くらい 幸せ <eos>
<bos> uai iaae a <eos>,<bos> くらい 幸せ な <eos>
<bos> iaae a ooie <eos>,<bos> 幸せ な 思い出 <eos>
<bos> a ooie a <eos>,<bos> な 思い出 が <eos>
<bos> ooie a iua <eos>,<bos> 思い出 が いつか <eos>
<bos> a iua uu <eos>,<bos> が いつか 来る <eos>
<bos> iua uu o <eos>,<bos> いつか 来る お <eos>
<bos> uu o aae <eos>,<bos> 来る お 別れ <eos>
<bos> o aae o <eos>,<bos> お 別れ を <eos>
<bos> aae o oae <eos>,<bos> 別れ を 育て <eos>
<bos> o oae e <eos>,<bos> を 育て て <eos>
<bos> oae e auu <eos>,<bos> 育て て 歩く <eos>
<bos> e auu ae <eos>,<bos> て 歩く 誰 <eos>
<bos> auu ae a <eos>,<bos> 歩く 誰 か <eos>
<bos> ae a o <eos>,<bos> 誰 か の <eos>
<bos> a o iao <eos>,<bos> か の 居場所 <eos>
<bos> o iao o <eos>,<bos> の 居場所 を <eos>
<bos> iao o uai <eos>,<bos> 居場所 を 奪い <eos>
<bos> o uai iiu <eos>,<bos> を 奪い 生きる <eos>
<bos> uai iiu uai <eos>,<bos> 奪い 生きる くらい <eos>
<bos> iiu uai aa <eos>,<bos> 生きる くらい なら <eos>
<bos> uai aa o <eos>,<bos> くらい なら もう <eos>
<bos> aa o aai <eos>,<bos> なら もう あたし <eos>
<bos> o aai a <eos>,<bos> もう あたし は <eos>
<bos> aai a iioo <eos>,<bos> あたし は 石ころ <eos>
<bos> a iioo i <eos>,<bos> は 石ころ に <eos>
<bos> iioo i eo <eos>,<bos> 石ころ に でも <eos>
<bos> i eo ae <eos>,<bos> に でも なれ <eos>
<bos> eo ae a <eos>,<bos> でも なれ た <eos>
<bos> ae a aai <eos>,<bos> なれ た ならい <eos>
<bos> a aai iaa <eos>,<bos> た ならい いなだ <eos>
<bos> aai iaa o <eos>,<bos> ならい いなだ と <eos>
<bos> iaa o i <eos>,<bos> いなだ と し <eos>
<bos> o i aa <eos>,<bos> と し たら <eos>
<bos> i aa aniai <eos>,<bos> し たら 勘違い <eos>
<bos> aa aniai o <eos>,<bos> たら 勘違い も <eos>
<bos> aniai o oaoi <eos>,<bos> 勘違い も 戸惑い <eos>
<bos> o oaoi o <eos>,<bos> も 戸惑い も <eos>
<bos> oaoi o ai <eos>,<bos> 戸惑い も ない <eos>
<bos> o ai o <eos>,<bos> も ない そう <eos>
<bos> ai o at <eos>,<bos> ない そう やっ <eos>
<bos> o at e <eos>,<bos> そう やっ て <eos>
<bos> at e aaa <eos>,<bos> やっ て あなた <eos>
<bos> e aaa ae <eos>,<bos> て あなた まで <eos>
<bos> aaa ae o <eos>,<bos> あなた まで も <eos>
<bos> ae o ia <eos>,<bos> まで も 知ら <eos>
<bos> o ia ai <eos>,<bos> も 知ら ない <eos>
<bos> ia ai aa <eos>,<bos> 知ら ない まま <eos>
<bos> ai aa e <eos>,<bos> ない まま で <eos>
<bos> aa e aaa <eos>,<bos> まま で あなた <eos>
<bos> e aaa i <eos>,<bos> で あなた に <eos>
<bos> aaa i aai <eos>,<bos> あなた に あたし <eos>
<bos> i aai o <eos>,<bos> に あたし の <eos>
<bos> aai o ooi <eos>,<bos> あたし の 思い <eos>
<bos> o ooi a <eos>,<bos> の 思い が <eos>
<bos> ooi a enu <eos>,<bos> 思い が 全部 <eos>
<bos> a enu uaat <eos>,<bos> が 全部 伝わっ <eos>
<bos> enu uaat e <eos>,<bos> 全部 伝わっ て <eos>
<bos> uaat e oii <eos>,<bos> 伝わっ て 欲しい <eos>
<bos> e oii oi <eos>,<bos> て 欲しい のに <eos>
<bos> oii oi ae <eos>,<bos> 欲しい のに 誰 <eos>
<bos> oi ae i <eos>,<bos> のに 誰 に <eos>
<bos> ae i o <eos>,<bos> 誰 に も <eos>
<bos> i o ie <eos>,<bos> に も 言え <eos>
<bos> o ie ai <eos>,<bos> も 言え ない <eos>
<bos> ie ai iiu <eos>,<bos> 言え ない 秘密 <eos>
<bos> ai iiu a <eos>,<bos> ない 秘密 が <eos>
<bos> iiu a at <eos>,<bos> 秘密 が あっ <eos>
<bos> a at e <eos>,<bos> が あっ て <eos>
<bos> at e uo <eos>,<bos> あっ て 嘘 <eos>
<bos> e uo o <eos>,<bos> て 嘘 を <eos>
<bos> uo o ui <eos>,<bos> 嘘 を つい <eos>
<bos> o ui e <eos>,<bos> を つい て <eos>
<bos> ui e iau <eos>,<bos> つい て しまう <eos>
<bos> e iau o <eos>,<bos> て しまう の <eos>
<bos> iau o a <eos>,<bos> しまう の だ <eos>
<bos> o a aaa <eos>,<bos> の だ あなた <eos>
<bos> a aaa a <eos>,<bos> だ あなた が <eos>
<bos> aaa a ooe <eos>,<bos> あなた が 思え <eos>
<bos> a ooe a <eos>,<bos> が 思え ば <eos>
<bos> ooe a oou <eos>,<bos> 思え ば 思う <eos>
<bos> a oou oi <eos>,<bos> ば 思う より <eos>
<bos> oou oi iuu <eos>,<bos> 思う より いくつ <eos>
<bos> oi iuu o <eos>,<bos> より いくつ も <eos>
<bos> iuu o aai <eos>,<bos> いくつ も あたし <eos>
<bos> o aai a <eos>,<bos> も あたし は <eos>
<bos> aai a iui <eos>,<bos> あたし は 意気地 <eos>
<bos> a iui ai <eos>,<bos> は 意気地 ない <eos>
<bos> iui ai oi <eos>,<bos> 意気地 ない のに <eos>
<bos> ai oi oie <eos>,<bos> ない のに どうして <eos>
<bos> oi oie oie <eos>,<bos> のに どうして どうして <eos>
<bos> oie oie oie <eos>,<bos> どうして どうして どうして <eos>
<bos> oie oie ie <eos>,<bos> どうして どうして 消え <eos>
<bos> oie ie ai <eos>,<bos> どうして 消え ない <eos>
<bos> ie ai aaii <eos>,<bos> 消え ない 悲しみ <eos>
<bos> ai aaii o <eos>,<bos> ない 悲しみ も <eos>
<bos> aaii o oooi <eos>,<bos> 悲しみ も 綻び <eos>
<bos> o oooi o <eos>,<bos> も 綻び も <eos>
<bos> oooi o aaa <eos>,<bos> 綻び も あなた <eos>
<bos> o aaa o <eos>,<bos> も あなた と <eos>
<bos> aaa o ie <eos>,<bos> あなた と いれ <eos>
<bos> o ie a <eos>,<bos> と いれ ば <eos>
<bos> ie a oee <eos>,<bos> いれ ば それで <eos>
<bos> a oee oat <eos>,<bos> ば それで 良かっ <eos>
<bos> oee oat a <eos>,<bos> それで 良かっ た <eos>
<bos> oat a e <eos>,<bos> 良かっ た ね <eos>
<bos> a e o <eos>,<bos> た ね と <eos>
<bos> e o aaeu <eos>,<bos> ね と 笑える <eos>
<bos> o aaeu o <eos>,<bos> と 笑える の <eos>
<bos> aaeu o a <eos>,<bos> 笑える の が <eos>
<bos> aaa a aii <eos>,<bos> あなた が 愛し <eos>
<bos> a aii e <eos>,<bos> が 愛し て <eos>
<bos> aii e ue <eos>,<bos> 愛し て くれ <eos>
<bos> e ue ai <eos>,<bos> て くれ ない <eos>
<bos> ue ai aa <eos>,<bos> くれ ない なら <eos>
<bos> ai aa aai <eos>,<bos> ない なら あたし <eos>
<bos> aa aai a <eos>,<bos> なら あたし は <eos>
<bos> aai a ii <eos>,<bos> あたし は 生き <eos>
<bos> a ii eu <eos>,<bos> は 生き てる <eos>
<bos> ii eu ii <eos>,<bos> 生き てる 意味 <eos>
<bos> eu ii ane <eos>,<bos> てる 意味 なんて <eos>
<bos> ii ane ai <eos>,<bos> 意味 なんて ない <eos>
<bos> ane ai a <eos>,<bos> なんて ない わ <eos>
<bos> ai a iaaa <eos>,<bos> ない わ 今更 <eos>
<bos> a iaaa oo <eos>,<bos> わ 今更 どこ <eos>
<bos> iaaa oo e <eos>,<bos> 今更 どこ へ <eos>
<bos> oo e o <eos>,<bos> どこ へ も <eos>
<bos> e o ie <eos>,<bos> へ も いけ <eos>
<bos> o ie ai <eos>,<bos> も いけ ない <eos>
<bos> ie ai aa <eos>,<bos> いけ ない なら <eos>
<bos> ai aa iei <eos>,<bos> ない なら きれい <eos>
<bos> aa iei a <eos>,<bos> なら きれい な <eos>
<bos> iei a oi <eos>,<bos> きれい な 鳥 <eos>
<bos> a oi i <eos>,<bos> な 鳥 に <eos>
<bos> oi i eo <eos>,<bos> 鳥 に でも <eos>
<bos> i eo ai <eos>,<bos> に でも なり <eos>
<bos> eo ai ai <eos>,<bos> でも なり たい <eos>
<bos> ai ai a <eos>,<bos> なり たい わ <eos>
<bos> ai a ae <eos>,<bos> たい わ 誰 <eos>
<bos> a ae oe <eos>,<bos> わ 誰 それ <eos>
<bos> ae oe oea <eos>,<bos> 誰 それ 大げさ <eos>
<bos> oe oea i <eos>,<bos> それ 大げさ に <eos>
<bos> oea i au <eos>,<bos> 大げさ に 吐く <eos>
<bos> i au uo <eos>,<bos> に 吐く 嘘 <eos>
<bos> au uo i <eos>,<bos> 吐く 嘘 に <eos>
<bos> uo i a <eos>,<bos> 嘘 に は <eos>
<bos> i a ii <eos>,<bos> に は 易々 <eos>
<bos> a ii ii <eos>,<bos> は 易々 耳 <eos>
<bos> ii ii ana <eos>,<bos> 易々 耳 なんか <eos>
<bos> ii ana aa <eos>,<bos> 耳 なんか 貸さ <eos>
<bos> ana aa ai <eos>,<bos> なんか 貸さ ない <eos>
<bos> aa ai n <eos>,<bos> 貸さ ない ん <eos>
<bos> ai n a <eos>,<bos> ない ん だ <eos>
<bos> n a aa <eos>,<bos> ん だ から <eos>
<bos> a aa aeae <eos>,<bos> だ から 誰彼 <eos>
<bos> aa aeae uaa <eos>,<bos> から 誰彼 すがら <eos>
<bos> aeae uaa u <eos>,<bos> 誰彼 すがら ず <eos>
<bos> uaa u ii <eos>,<bos> すがら ず 生き <eos>
<bos> u ii e <eos>,<bos> ず 生き て <eos>
<bos> ii e i <eos>,<bos> 生き て き <eos>
<bos> e i a <eos>,<bos> て き た <eos>
<bos> i a o <eos>,<bos> き た の <eos>
<bos> a o a <eos>,<bos> た の だ <eos>
<bos> o a eo <eos>,<bos> の だ けど <eos>
<bos> a eo o <eos>,<bos> だ けど 今日 <eos>
<bos> eo o a <eos>,<bos> けど 今日 は <eos>
<bos> o a aiii <eos>,<bos> 今日 は 寂しい <eos>
<bos> a aiii a <eos>,<bos> は 寂しい が <eos>
<bos> aiii a uou <eos>,<bos> 寂しい が 募る <eos>
<bos> a uou i <eos>,<bos> が 募る 日 <eos>
<bos> uou i i <eos>,<bos> 募る 日 に <eos>
<bos> i i at <eos>,<bos> 日 に なっ <eos>
<bos> i at e <eos>,<bos> に なっ て <eos>
<bos> at e aaii <eos>,<bos> なっ て 悲しい <eos>
<bos> e aaii e <eos>,<bos> て 悲しい で <eos>
<bos> aaii e iiu <eos>,<bos> 悲しい で 満ちる <eos>
<bos> e iiu ou <eos>,<bos> で 満ちる 夜 <eos>
<bos> iiu ou i <eos>,<bos> 満ちる 夜 に <eos>
<bos> ou i at <eos>,<bos> 夜 に なっ <eos>
<bos> i at e <eos>,<bos> に なっ て <eos>
<bos> oto oau a <eos>,<bos> ちょっと 病弱 な <eos>
<bos> oau a eun <eos>,<bos> 病弱 な セブン <eos>
<bos> a eun in <eos>,<bos> な セブン ティーン <eos>
<bos> eun in ae <eos>,<bos> セブン ティーン 枯れ <eos>
<bos> in ae a <eos>,<bos> ティーン 枯れ た <eos>
<bos> ae a inu <eos>,<bos> 枯れ た インク <eos>
<bos> a inu o <eos>,<bos> た インク と <eos>
<bos> inu o en <eos>,<bos> インク と ペン <eos>
<bos> o en e <eos>,<bos> と ペン で <eos>
<bos> en e e <eos>,<bos> ペン で 絵 <eos>
<bos> e e o <eos>,<bos> で 絵 を <eos>
<bos> e o eai <eos>,<bos> 絵 を 描い <eos>
<bos> o eai e <eos>,<bos> を 描い て <eos>
<bos> eai e ui <eos>,<bos> 描い て 継い <eos>
<bos> e ui e <eos>,<bos> て 継い で <eos>
<bos> ui e ui <eos>,<bos> 継い で 接い <eos>
<bos> e ui e <eos>,<bos> で 接い で <eos>
<bos> ui e aa <eos>,<bos> 接い で また <eos>
<bos> ou a an <eos>,<bos> 夜 は 何 <eos>
<bos> a an o <eos>,<bos> は 何 度 <eos>
<bos> an o o <eos>,<bos> 何 度 も <eos>
<bos> o o ai <eos>,<bos> 度 も 泣い <eos>
<bos> o ai e <eos>,<bos> も 泣い て <eos>
<bos> ai e aa <eos>,<bos> 泣い て また <eos>
<bos> e aa aia <eos>,<bos> て また 明日 <eos>
<bos> aa aia aau <eos>,<bos> また 明日 回る <eos>
<bos> aia aau auo <eos>,<bos> 明日 回る 発条 <eos>
<bos> aau auo o <eos>,<bos> 回る 発条 の <eos>
<bos> ou o oe <eos>,<bos> 僕 の 声 <eos>
<bos> o oe o <eos>,<bos> の 声 と <eos>
<bos> oe o aaa <eos>,<bos> 声 と 頭 <eos>
<bos> o aaa a <eos>,<bos> と 頭 は <eos>
<bos> aaa a aano <eos>,<bos> 頭 は がらんどう <eos>
<bos> a aano iuo <eos>,<bos> は がらんどう いつも <eos>
<bos> aano iuo aiei <eos>,<bos> がらんどう いつも 最低 <eos>
<bos> iuo aiei a <eos>,<bos> いつも 最低 な <eos>
<bos> aiei a iun <eos>,<bos> 最低 な 気分 <eos>
<bos> a iun a <eos>,<bos> な 気分 さ <eos>
<bos> iun a un <eos>,<bos> 気分 さ 君 <eos>
<bos> a un i <eos>,<bos> さ 君 に <eos>
<bos> un i aia <eos>,<bos> 君 に 愛さ <eos>
<bos> i aia e <eos>,<bos> に 愛さ れ <eos>
<bos> aia e ai <eos>,<bos> 愛さ れ たい <eos>
<bos> e ai o <eos>,<bos> れ たい と <eos>
<bos> ai o eat <eos>,<bos> たい と 願っ <eos>
<bos> o eat e <eos>,<bos> と 願っ て <eos>
<bos> eat e i <eos>,<bos> 願っ て い <eos>
<bos> e i ai <eos>,<bos> て い たい <eos>
<bos> i ai uto <eos>,<bos> い たい ずっと <eos>
<bos> ai uto oeu <eos>,<bos> たい ずっと 病欠 <eos>
<bos> uto oeu o <eos>,<bos> ずっと 病欠 の <eos>
<bos> oeu o eun <eos>,<bos> 病欠 の セブン <eos>
<bos> o eun in <eos>,<bos> の セブン ティーン <eos>
<bos> eun in uoa <eos>,<bos> セブン ティーン 曇ら <eos>
<bos> in uoa ai <eos>,<bos> ティーン 曇ら ない <eos>
<bos> uoa ai aa <eos>,<bos> 曇ら ない まま <eos>
<bos> ai aa o <eos>,<bos> ない まま 今日 <eos>
<bos> aa o o <eos>,<bos> まま 今日 を <eos>
<bos> o o aian <eos>,<bos> 今日 を 空き缶 <eos>
<bos> o aian i <eos>,<bos> を 空き缶 に <eos>
<bos> aian i oa <eos>,<bos> 空き缶 に 空 <eos>
<bos> i oa o <eos>,<bos> に 空 の <eos>
<bos> oa o aian <eos>,<bos> 空 の 雷管 <eos>
<bos> o aian o <eos>,<bos> の 雷管 と <eos>
<bos> aian o ea <eos>,<bos> 雷管 と ペーパー <eos>
<bos> o ea atu <eos>,<bos> と ペーパー バッグ <eos>
<bos> ea atu aa <eos>,<bos> ペーパー バッグ 馬鹿 <eos>
<bos> atu aa iai <eos>,<bos> バッグ 馬鹿 みたい <eos>
<bos> aa iai i <eos>,<bos> 馬鹿 みたい に <eos>
<bos> iai i ou <eos>,<bos> みたい に 呼吸 <eos>
<bos> i ou o <eos>,<bos> に 呼吸 を <eos>
<bos> ou o ue <eos>,<bos> 呼吸 を 詰め <eos>
<bos> o ue ie <eos>,<bos> を 詰め 入れ <eos>
<bos> ue ie aai <eos>,<bos> 詰め 入れ たあい <eos>
<bos> ie aai o <eos>,<bos> 入れ たあい も <eos>
<bos> aai o aaa <eos>,<bos> たあい も 変わら <eos>
<bos> o aaa u <eos>,<bos> も 変わら ず <eos>
<bos> aaa u i <eos>,<bos> 変わら ず に <eos>
<bos> un o ono <eos>,<bos> 君 を 本当 <eos>
<bos> o ono o <eos>,<bos> を 本当 の <eos>
<bos> ono o uo <eos>,<bos> 本当 の 嘘 <eos>
<bos> o uo e <eos>,<bos> の 嘘 で <eos>
<bos> uo e aau <eos>,<bos> 嘘 で 騙す <eos>
<bos> e aau n <eos>,<bos> で 騙す ん <eos>
<bos> aau n a <eos>,<bos> 騙す ん だ <eos>
<bos> n a ou <eos>,<bos> ん だ 僕 <eos>
<bos> a ou a <eos>,<bos> だ 僕 は <eos>
<bos> ou a uei <eos>,<bos> 僕 は 幽霊 <eos>
<bos> a uei a <eos>,<bos> は 幽霊 だ <eos>
<bos> uei a ono <eos>,<bos> 幽霊 だ 本当 <eos>
<bos> a ono a <eos>,<bos> だ 本当 さ <eos>
<bos> ono a un <eos>,<bos> 本当 さ 君 <eos>
<bos> a un o <eos>,<bos> さ 君 の <eos>
<bos> un o e <eos>,<bos> 君 の 目 <eos>
<bos> o e i <eos>,<bos> の 目 に <eos>
<bos> e i a <eos>,<bos> 目 に は <eos>
<bos> i a ie <eos>,<bos> に は 見え <eos>
<bos> a ie ai <eos>,<bos> は 見え ない <eos>
<bos> ie ai ao <eos>,<bos> 見え ない だろ <eos>
<bos> ai ao u <eos>,<bos> ない だろ う <eos>
<bos> ao u eo <eos>,<bos> だろ う けど <eos>
<bos> u eo ona <eos>,<bos> う けど そんな <eos>
<bos> eo ona ona <eos>,<bos> けど そんな こんな <eos>
<bos> ona ona e <eos>,<bos> そんな こんな で <eos>
<bos> ona e uat <eos>,<bos> こんな で 歌っ <eos>
<bos> e uat e <eos>,<bos> で 歌っ て <eos>
<bos> uat e a <eos>,<bos> 歌っ て は <eos>
<bos> e a oin <eos>,<bos> て は 行進 <eos>
<bos> a oin uu <eos>,<bos> は 行進 する <eos>
<bos> oin uu uei <eos>,<bos> 行進 する 幽霊 <eos>
<bos> uu uei en <eos>,<bos> する 幽霊 船 <eos>
<bos> uei en a <eos>,<bos> 幽霊 船 だ <eos>
<bos> aaa o iu <eos>,<bos> あなた の 言う <eos>
<bos> o iu oo <eos>,<bos> の 言う こと <eos>
<bos> iu oo a <eos>,<bos> 言う こと は <eos>
<bos> oo a io <eos>,<bos> こと は 思慮 <eos>
<bos> a io ua <eos>,<bos> は 思慮 深 <eos>
<bos> io ua ui <eos>,<bos> 思慮 深 すぎ <eos>
<bos> ua ui e <eos>,<bos> 深 すぎ て <eos>
<bos> ui e oeoe <eos>,<bos> すぎ て 惚れ惚れ <eos>
<bos> e oeoe o <eos>,<bos> て 惚れ惚れ と <eos>
<bos> oeoe o uu <eos>,<bos> 惚れ惚れ と する <eos>
<bos> o uu a <eos>,<bos> と する わ <eos>
<bos> uu a oie <eos>,<bos> する わ 教え <eos>
<bos> a oie e <eos>,<bos> わ 教え て <eos>
<bos> oie e oo <eos>,<bos> 教え て よそ <eos>
<bos> e oo o <eos>,<bos> て よそ の <eos>
<bos> oo o ooa <eos>,<bos> よそ の 言葉 <eos>
<bos> o ooa oo <eos>,<bos> の 言葉 その <eos>
<bos> ooa oo euau <eos>,<bos> 言葉 その 哲学 <eos>
<bos> oo euau o <eos>,<bos> その 哲学 の <eos>
<bos> euau o aeu <eos>,<bos> 哲学 の 帰る <eos>
<bos> o aeu ao <eos>,<bos> の 帰る 場所 <eos>
<bos> aeu ao iuie <eos>,<bos> 帰る 場所 について <eos>
<bos> ao iuie eiau <eos>,<bos> 場所 について 脆弱 <eos>
<bos> iuie eiau a <eos>,<bos> について 脆弱 だ <eos>
<bos> eiau a eiau <eos>,<bos> 脆弱 だ 脆弱 <eos>
<bos> a eiau a <eos>,<bos> だ 脆弱 だ <eos>
<bos> eiau a eiau <eos>,<bos> 脆弱 だ 脆弱 <eos>
<bos> a eiau a <eos>,<bos> だ 脆弱 だ <eos>
<bos> eiau a o <eos>,<bos> 脆弱 だ そう <eos>
<bos> a o at <eos>,<bos> だ そう やっ <eos>
<bos> o at e <eos>,<bos> そう やっ て <eos>
<bos> at e an <eos>,<bos> やっ て なん <eos>
<bos> e an ate <eos>,<bos> て なん だって <eos>
<bos> an ate oo <eos>,<bos> なん だって 情操 <eos>
<bos> ate oo o <eos>,<bos> だって 情操 と <eos>
<bos> oo o eto <eos>,<bos> 情操 と 節操 <eos>
<bos> o eto a <eos>,<bos> と 節操 が <eos>
<bos> eto a ai <eos>,<bos> 節操 が ない <eos>
<bos> a ai ai <eos>,<bos> が ない ない <eos>
<bos> ai ai u <eos>,<bos> ない ない つ <eos>
<bos> ai u ate <eos>,<bos> ない つ だって <eos>
<bos> u ate it <eos>,<bos> つ だって 言っ <eos>
<bos> ate it eu <eos>,<bos> だって 言っ てる <eos>
<bos> it eu a <eos>,<bos> 言っ てる じゃ <eos>
<bos> eu a ai <eos>,<bos> てる じゃ ない <eos>
<bos> a ai uei <eos>,<bos> じゃ ない 素敵 <eos>
<bos> ai uei a <eos>,<bos> ない 素敵 な <eos>
<bos> uei a ooa <eos>,<bos> 素敵 な 言葉 <eos>
<bos> a ooa aa <eos>,<bos> な 言葉 また <eos>
<bos> ooa aa oae <eos>,<bos> 言葉 また 唱え <eos>
<bos> aa oae e <eos>,<bos> また 唱え て <eos>
<bos> oae e ie <eos>,<bos> 唱え て 見せ <eos>
<bos> e ie e <eos>,<bos> て 見せ て <eos>
<bos> o at e <eos>,<bos> そう やっ て <eos>
<bos> at e aa <eos>,<bos> やっ て また <eos>
<bos> e aa ai <eos>,<bos> て また 吐き <eos>
<bos> aa ai iai <eos>,<bos> また 吐き 散らし <eos>
<bos> ai iai e <eos>,<bos> 吐き 散らし て <eos>
<bos> iai e a <eos>,<bos> 散らし て さ <eos>
<bos> e a ooeui <eos>,<bos> て さ 堂々巡り <eos>
<bos> a ooeui o <eos>,<bos> さ 堂々巡り も <eos>
<bos> ooeui o ae <eos>,<bos> 堂々巡り も やめ <eos>
<bos> o ae i <eos>,<bos> も やめ に <eos>
<bos> ae i io <eos>,<bos> やめ に しよ <eos>
<bos> i io u <eos>,<bos> に しよ う <eos>
<bos> io u ooa <eos>,<bos> しよ う 言葉 <eos>
<bos> u ooa o <eos>,<bos> う 言葉 を <eos>
<bos> ooa o ui <eos>,<bos> 言葉 を 杭 <eos>
<bos> o ui i <eos>,<bos> を 杭 に <eos>
<bos> ui i uiue <eos>,<bos> 杭 に 打ち付け <eos>
<bos> i uiue e <eos>,<bos> に 打ち付け て <eos>
<bos> uiue e ieiaau <eos>,<bos> 打ち付け て 見せびらかす <eos>
<bos> e ieiaau o <eos>,<bos> て 見せびらかす の <eos>
<bos> ieiaau o a <eos>,<bos> 見せびらかす の は <eos>
<bos> o a aui <eos>,<bos> の は 悪い <eos>
<bos> a aui ui <eos>,<bos> は 悪い 趣味 <eos>
<bos> aui ui a <eos>,<bos> 悪い 趣味 だ <eos>
<bos> ui a oan <eos>,<bos> 趣味 だ 傲慢 <eos>
<bos> a oan a <eos>,<bos> だ 傲慢 だ <eos>
<bos> oan a oan <eos>,<bos> 傲慢 だ 傲慢 <eos>
<bos> a oan a <eos>,<bos> だ 傲慢 だ <eos>
<bos> oan a oan <eos>,<bos> 傲慢 だ 傲慢 <eos>
<bos> a oan a <eos>,<bos> だ 傲慢 だ <eos>
<bos> oan a o <eos>,<bos> 傲慢 だ そう <eos>
